iter	RMSE
0	110754.1063
1	108251.7948
2	106075.8262
3	103941.9002
4	101797.4994
5	99762.59973
6	97853.50148
7	96012.40226
8	94309.81119
9	92670.78636
10	91042.9404
11	89520.43896
12	87980.24607
13	86735.08106
14	85397.36895
15	84136.47485
16	82998.71148
17	81972.61158
18	80922.66466
19	79939.55715
20	78919.56939
21	78073.95801
22	77093.87469
23	76336.02192
24	75379.45929
25	74692.16029
26	73905.0856
27	73240.85493
28	72567.26157
29	71915.81911
30	71174.34486
31	70587.83113
32	69930.1555
33	69501.04334
34	68992.53207
35	68399.82404
36	67912.92039
37	67433.19987
38	66932.908
39	66586.91358
40	66205.49832
41	65792.48173
42	65427.02074
43	65073.3022
44	64808.49497
45	64420.11285
46	63853.83829
47	63414.30486
48	63195.31095
49	62988.0423
50	62779.23404
51	62409.87603
52	62014.54992
53	61753.19619
54	61355.92351
55	61126.67951
56	60926.9169
57	60697.98755
58	60526.81328
59	60305.97963
60	60100.29625
61	59921.31802
62	59762.88653
63	59579.64846
64	59252.27984
65	59015.72631
66	58774.66564
67	58621.85919
68	58484.2027
69	58368.82563
70	58184.53977
71	58009.69146
72	57887.22047
73	57772.64094
74	57614.39692
75	57461.82395
76	57404.76538
77	57300.72188
78	57152.74614
79	56940.15933
80	56821.07421
81	56706.00956
82	56566.63895
83	56439.14469
84	56286.05043
85	56174.02994
86	56069.81538
87	55811.23246
88	55680.51929
89	55540.7821
90	55336.41916
91	55268.08296
92	55177.1808
93	55037.70369
94	54881.56449
95	54666.00102
96	54565.69982
97	54454.21222
98	54377.8086
99	54249.43761
100	54157.58062
101	54073.80319
102	54002.01171
103	53929.8738
104	53875.59141
105	53809.94892
106	53737.52007
107	53665.43736
108	53554.32007
109	53462.87705
110	53390.09264
111	53267.91649
112	53119.13016
113	53034.04708
114	52928.56898
115	52864.4627
116	52697.08619
117	52654.73757
118	52618.07944
119	52522.83735
120	52407.09788
121	52268.76629
122	52135.17187
123	52045.50274
124	51930.64157
125	51867.52252
126	51799.92455
127	51650.5133
128	51567.84571
129	51494.3286
130	51432.29728
131	51384.04354
132	51343.75808
133	51216.12212
134	51160.81812
135	51078.74543
136	51016.70858
137	50960.38748
138	50884.87358
139	50827.91604
140	50664.01618
141	50579.62904
142	50490.87793
143	50382.46194
144	50297.54356
145	50179.05481
146	50092.7517
147	50010.07714
148	49954.91333
149	49881.08138
150	49805.75281
151	49713.35717
152	49619.85218
153	49586.06489
154	49510.02594
155	49457.89366
156	49411.16353
157	49327.57143
158	49209.53074
159	49153.67941
160	49047.65265
161	48988.42708
162	48949.43935
163	48893.28494
164	48867.81786
165	48806.62611
166	48695.18918
167	48598.0043
168	48565.52093
169	48515.93712
170	48490.34354
171	48420.14391
172	48369.3901
173	48325.96491
174	48213.10992
175	48151.01217
176	48048.44555
177	47985.45231
178	47938.44097
179	47875.02004
180	47846.05448
181	47753.64772
182	47658.7079
183	47618.13668
184	47546.60386
185	47506.57397
186	47420.00044
187	47362.07243
188	47298.3576
189	47235.34071
190	47155.60096
191	47111.18491
192	47071.4738
193	47024.70925
194	46971.50002
195	46895.7811
196	46769.66757
197	46729.9765
198	46666.33074
199	46598.65234
200	46495.07441
201	46462.77884
202	46424.3967
203	46362.47671
204	46292.45884
205	46218.01658
206	46151.29382
207	46081.32019
208	46054.74239
209	46015.38699
210	45961.64283
211	45906.8994
212	45842.12192
213	45730.88715
214	45665.21975
215	45609.79783
216	45543.82759
217	45480.53133
218	45415.45142
219	45350.64435
220	45227.33215
221	45189.28924
222	45152.24739
223	45123.72052
224	45026.13092
225	44955.43708
226	44932.65484
227	44868.65012
228	44815.97904
229	44778.29619
230	44707.86332
231	44643.63119
232	44597.01089
233	44563.25936
234	44508.14778
235	44427.52927
236	44382.63855
237	44325.01093
238	44271.27663
239	44219.63903
240	44139.18313
241	44080.98739
242	44026.94592
243	43945.01734
244	43924.41936
245	43878.07429
246	43826.59459
247	43801.71791
248	43752.86481
249	43702.64096
250	43649.02669
251	43610.11322
252	43559.1522
253	43533.48997
254	43439.53368
255	43362.41057
256	43323.62562
257	43275.65571
258	43225.63946
259	43209.3968
260	43194.0444
261	43117.67444
262	43104.0291
263	43065.72694
264	42995.63625
265	42962.46124
266	42885.07037
267	42829.34187
268	42762.04092
269	42710.81868
270	42642.20843
271	42585.49443
272	42517.30976
273	42414.34689
274	42385.64952
275	42353.37068
276	42280.96463
277	42213.4613
278	42170.10323
279	42107.77108
280	42064.12539
281	42024.82525
282	41992.22392
283	41977.16081
284	41936.02775
285	41880.81401
286	41851.15375
287	41789.98504
288	41721.50119
289	41694.95169
290	41665.62055
291	41623.92448
292	41583.06984
293	41488.55119
294	41430.26754
295	41380.14112
296	41365.71496
297	41309.99437
298	41261.89679
299	41184.84364
300	41142.77851
301	41101.49278
302	41071.28411
303	41030.77778
304	40945.23843
305	40913.26352
306	40879.52907
307	40825.17993
308	40796.92668
309	40768.74966
310	40707.15428
311	40650.25815
312	40602.78295
313	40540.73677
314	40508.06383
315	40414.82025
316	40397.11188
317	40339.41051
318	40282.97628
319	40238.57626
320	40207.29811
321	40180.4958
322	40137.62107
